菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_199,沙门菌,鸡场,粪便,,>512,16.00,256.00,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,8,16,2.00,32/16,>512
demo_200,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,1,0.5,16,128.00,>256,0.12/2.4,1,2,<=0.03,4,8,0.5,128/64,>512
demo_201,沙门菌,鸡场,鸡泄殖腔,,>512,32.00,256.00,16,>128,32,>256,>32/608,16,16,0.06,64,>64,4.00,256/128,>512
demo_202,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,256.00,8,32,512.00,>256,0.12/2.4,>32,64,<=0.03,4,>64,0.5,8/4,>512
demo_203,沙门菌,鸡场,鸡泄殖腔,,>512,32.00,256.00,32,64,64,256.00,>32/608,2,8,<=0.03,8,4,0.25,8/4,>512
demo_204,沙门菌,鸡场,鸡泄殖腔,,>512,8.00,128.00,32.00,>128,64.00,>256,>32/608,>32,64.00,<0.03,16,>64,0.50,8/16,>512
demo_205,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,256.00,8,32,128,256,0.25/4.8,0.25,1,<0.03,8,8,4,8/4,>512
demo_206,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,256.00,32,>128,64,>256,>32/608,>32,64,<0.03,8,>64,0.5,16/8,>512
demo_207,沙门菌,鸡场,鸡泄殖腔,,>512,0.25,0.5,16,>128,128,>256,2/38,1,4,<0.03,64,32,0.5,16/8,>512
demo_208,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,>512,16,>512,>256,>32/608,>32,>64,<=0.03,8,8,0.5,8/4,>512
demo_209,沙门菌,鸡场,鸡泄殖腔,,>512,8.00,>256,32,>128,128,256,0.25/4.8,1,2,<0.03,8,>64,1,1/0.5,>512
demo_210,沙门菌,鸡场,鸡泄殖腔,,>512,32.00,>256,0.5,64,1,4,<0.06/1.2,0.03,0.25,<0.03,8,8,0.5,1/0.5,32
demo_211,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,1,16,2,4,<0.06/1.2,0.5,2,<0.03,8,8,0.5,1/0.5,512
demo_212,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,0.50,0.5,128,2,2,>32/608,0.25,1,<0.03,8,8,4,8/4,16
demo_213,沙门菌,鸡场,鸡泄殖腔,,>512,32.00,32.00,0.50,32.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,4,4.00,0.5/0.25,16.00
demo_214,沙门菌,鸡场,鸡盲肠,,>512,32.00,>256,1,32,2,4,<0.06/1.2,0.03,0.12,<0.03,8,16,0.5,1/0.5,>512
demo_215,沙门菌,鸡场,鸡盲肠,,>512,16.00,>256,0.5,64,1,2,<0.06/1.2,0.03,0.12,<0.03,8,8,1,1/0.5,16
